task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
88	b6/43db7c	4562496	process_read_MS2_pos_msnbase (AutoMSMS_294.mzML)	COMPLETED	0	2021-06-14 16:44:10.414	30.5s	16.3s	66,0%	278.5 MB	757.4 MB	131.4 MB	9.6 MB
83	39/9b9cb1	4562497	process_read_MS2_pos_msnbase (AutoMSMS_019.mzML)	COMPLETED	0	2021-06-14 16:44:10.961	30s	11.7s	93,8%	301.4 MB	822 MB	159 MB	13.9 MB
85	7d/6711c5	4562498	process_read_MS2_pos_msnbase (AutoMSMS_293.mzML)	COMPLETED	0	2021-06-14 16:44:10.994	30s	11.9s	94,2%	279.5 MB	765 MB	132.5 MB	9.8 MB
87	03/80686b	4562499	process_read_MS2_pos_msnbase (AutoMSMS_352.mzML)	COMPLETED	0	2021-06-14 16:44:11.021	34.9s	11.5s	92,8%	281 MB	810.3 MB	128.7 MB	8.8 MB
82	5e/36749d	4562500	process_read_MS2_pos_msnbase (AutoMSMS_018.mzML)	COMPLETED	0	2021-06-14 16:44:11.048	34.9s	11.6s	93,0%	310.3 MB	859.4 MB	165.1 MB	14.7 MB
84	b2/37ce13	4562501	process_read_MS2_pos_msnbase (AutoMSMS_020.mzML)	COMPLETED	0	2021-06-14 16:44:11.081	34.9s	11.9s	93,4%	308.9 MB	825.7 MB	166.4 MB	14.7 MB
1	80/ad9cea	4562502	get_software_versions	COMPLETED	0	2021-06-14 16:44:11.112	34.9s	3.2s	201,5%	142.8 MB	35.9 GB	32.2 MB	6.5 KB
86	2f/8f1716	4562503	process_read_MS2_pos_msnbase (AutoMSMS_351.mzML)	COMPLETED	0	2021-06-14 16:44:11.154	34.8s	11.4s	93,4%	271.4 MB	809.4 MB	122.9 MB	8.5 MB
21	78/824f1a	4562504	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_213_QC41_213.mzML)	COMPLETED	0	2021-06-14 16:44:11.185	34.8s	20.5s	96,0%	428.5 MB	969.8 MB	194.3 MB	151.6 KB
19	40/0172dc	4562505	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_188_QC41_188.mzML)	COMPLETED	0	2021-06-14 16:44:11.213	34.8s	19.9s	96,1%	430.5 MB	968.2 MB	194.1 MB	143.3 KB
